symbol,average_percent_change_24h
AAVE,-3.02136365
ALGO,4.006671613333333
APE,-2.7895563566666666
ATOM,-0.18769881
BTC,-0.12732560666666667
CORE,-2.1721137699999997
DASH,-0.5672174833333333
DOGE,-1.1714325233333334
DOT,1.1793788766666669
ETH,-4.026477916666667
LTC,12.961197030000001
LUNA,-2.11423905
OP,-3.19330341
SHIB,-2.6320026266666665
SOL,2.3553461
SUSHI,-3.72839826
TRX,0.6047098
UNI,-2.820296273333333
XMR,5.249487346666666
